created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Sep 26 02:52:29 +0000 2023;1706501969723146622;"pengen sosis keju indomaret😭😭😭😭😭😭";0;0;0;0;in;1078909793182539777;1706501969723146622;yutsiee;https://twitter.com/yutsiee/status/1706501969723146622
Tue Sep 26 01:22:38 +0000 2023;1706479358670696780;"sosis keju indomaret seenak itu pengen lagi takut kehabisan";0;0;0;0;in;257744409;1706479358670696780;forlovechae;https://twitter.com/forlovechae/status/1706479358670696780
Mon Sep 25 13:48:10 +0000 2023;1706304590117847253;"@Yourgodmother13 Aduh telat ikut, tapi ga pa pa ikutan tetap Mak pengen nyoba sosis keju Indomaret udah itu ajah, makasih Makku";0;0;0;0;in;1635858753521336320;1706283651158405479;Minvivt;https://twitter.com/Minvivt/status/1706304590117847253
Mon Sep 25 12:22:16 +0000 2023;1706282971790237967;"@litheoats ihhh padahal gue masih sering makan sosis keju indomaret lohh disini😋";0;1;0;0;in;1142961357140062208;1706246044089246176;ratherbenayi;https://twitter.com/ratherbenayi/status/1706282971790237967
Mon Sep 25 11:14:17 +0000 2023;1706265862720946255;"sosis bakar indomaret (12k) check ✅ ini yg aku beli rasa original, biasanya beli rasa keju krn lebih enak dan lebih kerasa daging sapinya 😆👍🏻 https://t.co/kdgbetsnjS";0;0;0;1;in;837714828;1706265862720946255;sasha_suhardi;https://twitter.com/sasha_suhardi/status/1706265862720946255
Mon Sep 25 08:28:47 +0000 2023;1706224216285368693;"knp ya sosis indomaret yg keju skrg susah bgt😭😭😭😭";0;1;0;20;in;1476585133717159940;1706224216285368693;gloomyald;https://twitter.com/gloomyald/status/1706224216285368693
Mon Sep 25 06:50:22 +0000 2023;1706199446164541531;"-- pengen sosis keju Indomaret pake banget plis nyarinya dimana yang paling deket ke nangor guys?";1;3;0;3;in;1209457724599095296;1706199446164541531;DraftAnakUnpad;https://twitter.com/DraftAnakUnpad/status/1706199446164541531
Mon Sep 25 06:17:39 +0000 2023;1706191214863953989;"Unila! Ada yang tau nggak beli sosis Indomaret keju yang viral di balam dimana ya?";0;3;0;2;in;1367063449977585664;1706191214863953989;unilabase;https://twitter.com/unilabase/status/1706191214863953989
Mon Sep 25 00:58:17 +0000 2023;1706110841433755875;"@seokjiiinuggets @ailbethere sosis indomaret rasa keju";0;1;0;0;in;1446648958692978688;1705947748711936407;jungkookbtsx;https://twitter.com/jungkookbtsx/status/1706110841433755875
Sun Sep 24 12:56:43 +0000 2023;1705929255300079847;"@convomf pengen sosis keju indomaret tapi susah bgt skrng:(";0;0;0;0;in;1258562449071984641;1705900790454653421;sungjinmanura;https://twitter.com/sungjinmanura/status/1705929255300079847
Sun Sep 24 12:33:35 +0000 2023;1705923434633707860;"croissant cheese beef &amp  sosis keju nya indomaret kayanya menarik";0;1;0;0;in;1179724999885651968;1705923434633707860;laaaanis;https://twitter.com/laaaanis/status/1705923434633707860
Sun Sep 24 07:29:17 +0000 2023;1705846851558359235;"susah amat nyari sosis keju indomaret";0;0;0;0;in;1221113923929198592;1705846851558359235;iceblaztt;https://twitter.com/iceblaztt/status/1705846851558359235
Sun Sep 24 04:39:43 +0000 2023;1705804178185163232;"Spill indomaret fresh yang nyetok sosis keju, td malem udah datengin 4 abis semuaa";0;2;0;0;in;1303355374200713216;1705804178185163232;yourhermionne;https://twitter.com/yourhermionne/status/1705804178185163232
Sat Sep 23 13:05:47 +0000 2023;1705569150113067115;"sosis keju indomaret abis dimana2 yaallaaahhhh gw udh ngidam";0;0;0;1;in;4666925293;1705569150113067115;ppromegranate;https://twitter.com/ppromegranate/status/1705569150113067115
Sat Sep 23 08:12:55 +0000 2023;1705495444091236739;"@Yourgodmother13 Mau Mak, buat beli kebutuhan kost akhir bulan, lebihnya buat beli Makanan yang aku pengen sosis keju Indomaret, semoga aku ke pict sama emak Amiin, rezeki selalu lancar ya mak";0;0;0;0;in;1635858753521336320;1705493600191361246;Minvivt;https://twitter.com/Minvivt/status/1705495444091236739
Sat Sep 23 05:19:54 +0000 2023;1705451905110147343;"@masmasjawabgt Mau jajan sosis keju Indomaret sama roti nya mas Jawa, belum pernah soalnya, dan belum pernah kepilih juga huhuhu";0;0;0;0;in;1635858753521336320;1705449179835941173;Minvivt;https://twitter.com/Minvivt/status/1705451905110147343
